fingerprint,time,song
2099208,122, Never_Really_Change
2101256,110, Never_Really_Change
2102280,101, Night_Owl
2103304,125, Never_Really_Change
2104328,101, Night_Owl
2106376,101, Night_Owl
2107400,27, The_last_ones
2108424,101, Night_Owl
2109448,82, The_last_ones
2110472,122, Never_Really_Change
2111496,102, Never_Really_Change
2112520,122, Never_Really_Change
2113544,102, Never_Really_Change
2114568,96, The_last_ones
2116616,101, Night_Owl
2117640,122, Never_Really_Change
2118664,122, Never_Really_Change
2119688,122, Never_Really_Change
3149832,66, cross_pollination
3153928,122, Never_Really_Change
3155976,85, Never_Really_Change
3161096,79, Never_Really_Change
3162120,124, The_last_ones
3164168,124, The_last_ones
3168264,84, Never_Really_Change
4204552,110, Never_Really_Change
5242888,90, cross_pollination
5243912,109, cross_pollination
5252104,109, cross_pollination
8391688,102, Never_Really_Change
2101248,110, Never_Really_Change
2105344,83, Never_Really_Change
2107392,27, The_last_ones
2112512,101, Never_Really_Change
2113536,101, Never_Really_Change
2115584,83, Never_Really_Change
2119680,83, Never_Really_Change
3155968,101, Never_Really_Change
4194304,123, cross_pollination
4195328,123, cross_pollination
4203520,123, cross_pollination
7343104,117, The_last_ones
2107394,27, The_last_ones
3145730,65, cross_pollination
3146754,26, cross_pollination
3154946,61, cross_pollination
6294530,97, Never_Really_Change
2107396,27, The_last_ones
3145732,120, cross_pollination
3146756,94, Never_Really_Change
3154948,94, Never_Really_Change
6294532,104, Never_Really_Change
2107397,27, The_last_ones
3145733,107, Never_Really_Change
3146757,107, Never_Really_Change
3154949,107, Never_Really_Change
6294533,105, cross_pollination
2107398,27, The_last_ones
3145734,107, Never_Really_Change
3146758,107, Never_Really_Change
3154950,107, Never_Really_Change
6294534,82, Never_Really_Change
2107399,27, The_last_ones
3145735,49, cross_pollination
3146759,94, Never_Really_Change
3154951,94, Never_Really_Change
6294535,104, Never_Really_Change
2107401,27, The_last_ones
3145737,87, cross_pollination
3146761,111, cross_pollination
3154953,123, cross_pollination
6294537,97, Never_Really_Change
2107402,27, The_last_ones
3145738,124, cross_pollination
3146762,94, Never_Really_Change
3154954,94, Never_Really_Change
6294538,104, Never_Really_Change
2107403,27, The_last_ones
3145739,120, cross_pollination
3146763,113, Never_Really_Change
